43,St. Martin's Episcopal (LA),61,61,18,48,44,15,16,31,40,51,33,41,31,38,42,47,47,54,49,52,13,18,35,15,57
44,Clinton H.S. (SC),61,61,60,50,60,36,56,58,57,58,37,60,24,50,47,57,55,40,28,38,49,43,58,51,54
45,Barrington H.S. (RI),61,61,31,54,49,56,39,33,47,24,42,20,50,49,26,27,30,56,10,57,32,56,50,30,38
46,Merrimack H.S. (NH),37,1,43,49,52,48,45,43,55,43,55,36,54,18,36,59,51,39,31,44,53,54,41,52,45
47,Ed W. Clark H.S. (NV),23,10,23,10,11,13,37,3,52,41,31,21,42,45,18,4,26,17,27,14,26,27,27,31,43
48,Casady School (OK),21,25,40,45,30,44,40,55,36,38,26,27,22,47,39,29,42,36,53,34,56,46,40,35,50
49,St. Mary's Academy (OR),19,22,35,33,35,35,48,49,53,55,57,35,53,42,57,49,33,45,60,40,43,50,36,39,17
50,Cathedral H.S. (MS),39,34,52,53,55,59,60,51,56,56,30,57,40,17,55,52,50,32,43,51,60,58,54,60,6
51,Little Rock Central H.S. (AR),34,33,44,56,51,57,50,57,49,60,58,55,41,52,54,41,58,58,57,60,52,49,60,34,48
52,Waynflete School (ME),61,61,53,37,50,55,41,36,41,53,51,46,56,48,51,32,60,29,54,47,38,57,45,56,51
53,Ames H.S. (IA),46,28,47,35,39,21,46,20,27,36,32,40,19,29,41,40,32,44,16,29,41,42,44,4,46
54,St. Johnsbury Academy (VT),16,37,55,59,59,54,58,47,45,29,43,53,45,59,46,54,56,59,41,55,50,52,52,57,60
55,Mat?Su Career and Technical  (AK),44,35,48,60,54,39,47,48,59,31,52,44,20,44,37,58,39,57,45,50,39,34,43,48,32
56,Treasure Valley Homeschool (ID),18,18,29,44,48,40,43,56,29,46,27,37,30,30,59,55,34,13,21,28,42,40,48,50,27
57,Thunder Basin H.S. (WY),61,61,58,55,58,58,55,50,51,54,56,56,55,55,50,46,57,48,40,56,51,60,57,59,31
58,National Cathedral School (DC),24,30,49,57,45,52,32,42,60,47,38,58,59,58,56,60,48,49,56,59,48,45,55,45,58
59,Yankton H.S. (SD),36,24,57,52,57,53,52,59,58,50,49,54,47,46,53,51,43,20,37,53,54,55,46,28,44
60,Parkersburg H.S. (WV),61,61,59,58,37,60,59,60,48,25,41,45,60,60,60,56,59,61,60,49,55,59,47,55,56
